,e low cards,more low cards,same amount,more high cards,e high cards
2,h,h,h,h,h
3,h,h,h,h,h
4,h,h,h,h,h
5,h,h,h,h,h
6,h,h,h,h,h
7,h,h,h,h,h
8,h,h,h,h,h
9,h,h,s,h,h
10,h,h,h,s,h
11,h,h,s,h,s
12,s,s,s,s,s
13,s,s,s,s,s
14,s,s,s,s,s
15,s,s,s,s,s
16,s,s,s,s,s
17,s,s,s,s,s
18,s,s,s,s,s
19,s,s,s,s,s
20,s,s,s,s,s
21,s,s,s,s,s
