,e low cards,more low cards,same amount,more high cards,e high cards
2,s,s,s,h,h
3,h,h,h,h,h
4,s,h,s,s,s
5,s,s,s,h,s
6,s,h,h,s,s
7,s,s,h,h,s
8,s,s,h,s,s
9,h,h,s,h,h
10,h,h,h,h,h
11,h,h,s,h,h
12,s,h,s,s,s
13,s,s,h,s,h
14,s,h,s,h,s
15,s,h,s,s,s
16,h,s,s,h,h
17,s,h,s,s,s
18,s,s,s,s,s
19,s,s,s,s,s
20,s,s,s,s,s
21,s,s,s,s,s
